name	taxonomy_id	taxonomy_lvl	sample_Neg_num	sample_Neg_frac	sample_No-Tube-1_num	sample_No-Tube-1_frac	sample_No-Tube-2_num	sample_No-Tube-2_frac	sample_Pos_num	sample_Pos_frac
Niveispirillum cyanobacteriorum	1612173	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Nitrospirillum amazonense	28077	S	11	0.00007	0	0.00000	0	0.00000	0	0.00000
Tistrella mobilis	171437	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Roseomonas gilardii	257708	S	16	0.00010	0	0.00000	0	0.00000	12	0.00000
Komagataeibacter rhaeticus	215221	S	21	0.00013	1194	0.00003	0	0.00000	2347	0.00003
Stella humosa	94	S	14	0.00009	0	0.00000	0	0.00000	0	0.00000
Acetobacteraceae bacterium	1909293	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Phreatobacter stygius	1940610	S	16	0.00010	0	0.00000	0	0.00000	0	0.00000
Phreatobacter cathodiphilus	1868589	S	14	0.00009	0	0.00000	0	0.00000	0	0.00000
Polymorphum gilvum	991904	S	11	0.00007	0	0.00000	0	0.00000	0	0.00000
Candidatus Fonsibacter ubiquis	1925548	S	13	0.00008	0	0.00000	0	0.00000	0	0.00000
Pseudomonas sp. phDV1	253237	S	68	0.00042	233	0.00001	0	0.00000	312	0.00000
Pseudomonas sp. LPH1	1898684	S	13	0.00008	550	0.00001	0	0.00000	690	0.00001
Pseudomonas oleovorans	301	S	86	0.00053	592	0.00001	0	0.00000	839	0.00001
Pseudomonas aeruginosa	287	S	61	0.00038	4682654	0.11482	25	0.00064	6149987	0.06607
Pseudomonas mendocina	300	S	60	0.00037	5112	0.00013	0	0.00000	7033	0.00008
Pseudomonas alcaligenes	43263	S	52	0.00032	2074	0.00005	0	0.00000	2684	0.00003
Pseudomonas citronellolis	53408	S	10	0.00006	6977	0.00017	0	0.00000	9205	0.00010
Pseudomonas fluorescens	294	S	140	0.00087	24450	0.00060	14	0.00036	37342	0.00040
Pseudomonas azotoformans	47878	S	39	0.00024	706	0.00002	0	0.00000	1017	0.00001
Pseudomonas synxantha	47883	S	16	0.00010	942	0.00002	0	0.00000	1283	0.00001
Pseudomonas rhodesiae	76760	S	13	0.00008	373	0.00001	0	0.00000	464	0.00000
Pseudomonas tolaasii	29442	S	10	0.00006	269	0.00001	0	0.00000	328	0.00000
Pseudomonas stutzeri	316	S	105	0.00065	9537	0.00023	0	0.00000	13119	0.00014
Pseudomonas balearica	74829	S	33	0.00020	1416	0.00003	0	0.00000	1985	0.00002
Pseudomonas putida	303	S	87	0.00054	9491	0.00023	0	0.00000	12438	0.00013
Pseudomonas oryzihabitans	47885	S	19	0.00012	2172	0.00005	0	0.00000	2958	0.00003
Pseudomonas fulva	47880	S	11	0.00007	1536	0.00004	0	0.00000	2103	0.00002
Pseudomonas monteilii	76759	S	10	0.00006	1333	0.00003	0	0.00000	1665	0.00002
Pseudomonas chlororaphis	587753	S	22	0.00014	4810	0.00012	0	0.00000	6552	0.00007
Pseudomonas alcaliphila	101564	S	34	0.00021	433	0.00001	0	0.00000	647	0.00001
Pseudomonas sihuiensis	1274359	S	31	0.00019	356	0.00001	0	0.00000	493	0.00001
Pseudomonas reinekei	395598	S	18	0.00011	358	0.00001	0	0.00000	498	0.00001
Pseudomonas versuta	1788301	S	12	0.00007	284	0.00001	0	0.00000	340	0.00000
Pseudomonas simiae	321846	S	11	0.00007	290	0.00001	0	0.00000	354	0.00000
Acinetobacter junii	40215	S	428	0.00266	11	0.00000	0	0.00000	38	0.00000
Acinetobacter johnsonii	40214	S	301	0.00187	51	0.00000	29	0.00074	153	0.00000
Acinetobacter sp. WCHA45	2004644	S	73	0.00045	0	0.00000	0	0.00000	14	0.00000
Acinetobacter sp. WCHA55	2004646	S	19	0.00012	0	0.00000	0	0.00000	12	0.00000
Acinetobacter baumannii	470	S	72	0.00045	71	0.00000	0	0.00000	165	0.00000
Acinetobacter pittii	48296	S	12	0.00007	30	0.00000	0	0.00000	98	0.00000
Acinetobacter radioresistens	40216	S	86	0.00053	31	0.00000	0	0.00000	181	0.00000
Acinetobacter haemolyticus	29430	S	54	0.00034	337	0.00001	0	0.00000	833	0.00001
Acinetobacter lwoffii	28090	S	42	0.00026	0	0.00000	0	0.00000	45	0.00000
Acinetobacter ursingii	108980	S	35	0.00022	0	0.00000	0	0.00000	59	0.00000
Acinetobacter indicus	756892	S	30	0.00019	15	0.00000	0	0.00000	32	0.00000
Acinetobacter schindleri	108981	S	27	0.00017	14	0.00000	0	0.00000	35	0.00000
Acinetobacter gyllenbergii	134534	S	16	0.00010	0	0.00000	0	0.00000	0	0.00000
Acinetobacter guillouiae	106649	S	14	0.00009	0	0.00000	0	0.00000	0	0.00000
Acinetobacter dispersus	70348	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Moraxella osloensis	34062	S	285	0.00177	38	0.00000	22	0.00056	690	0.00001
Psychrobacter sp. P11F6	1699621	S	29	0.00018	0	0.00000	0	0.00000	11	0.00000
Klebsiella variicola	244366	S	1180	0.00733	231230	0.00567	84	0.00214	444847	0.00478
Klebsiella pneumoniae	573	S	227	0.00141	180020	0.00441	32	0.00081	376822	0.00405
Klebsiella oxytoca	571	S	44	0.00027	37932	0.00093	0	0.00000	75963	0.00082
Salmonella enterica	28901	S	999	0.00620	6817481	0.16717	106	0.00270	11469725	0.12322
Citrobacter freundii	546	S	12	0.00007	3207	0.00008	0	0.00000	5279	0.00006
Pseudescherichia vulneris	566	S	56	0.00035	2102	0.00005	0	0.00000	3392	0.00004
Escherichia coli	562	S	38	0.00024	1957883	0.04801	0	0.00000	3437266	0.03693
Buttiauxella sp. 3AFRM03	2479367	S	11	0.00007	2168	0.00005	0	0.00000	3641	0.00004
Serratia sp. 3ACOL1	2448483	S	88	0.00055	1917	0.00005	0	0.00000	3408	0.00004
Pantoea agglomerans	549	S	14	0.00009	144	0.00000	0	0.00000	225	0.00000
Buchnera aphidicola	9	S	37	0.00023	384	0.00001	0	0.00000	983	0.00001
Xanthomonas citri	346	S	1349	0.00838	13012	0.00032	99	0.00252	22794	0.00024
Xanthomonas campestris	339	S	73	0.00045	53	0.00000	15	0.00038	259	0.00000
Xanthomonas translucens	343	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Stenotrophomonas maltophilia	40324	S	91	0.00057	216	0.00001	17	0.00043	363	0.00000
Stenotrophomonas acidaminiphila	128780	S	22	0.00014	25	0.00000	0	0.00000	53	0.00000
Stenotrophomonas rhizophila	216778	S	15	0.00009	26	0.00000	0	0.00000	32	0.00000
Lysobacter sp. TY2-98	2290922	S	46	0.00029	0	0.00000	0	0.00000	0	0.00000
Lysobacter enzymogenes	69	S	40	0.00025	10	0.00000	0	0.00000	20	0.00000
Lysobacter soli	453783	S	23	0.00014	0	0.00000	0	0.00000	0	0.00000
Lysobacter maris	1605891	S	22	0.00014	0	0.00000	0	0.00000	0	0.00000
Lysobacter antibioticus	84531	S	15	0.00009	0	0.00000	0	0.00000	0	0.00000
Lysobacter capsici	435897	S	15	0.00009	0	0.00000	0	0.00000	0	0.00000
Lysobacter gummosus	262324	S	14	0.00009	0	0.00000	0	0.00000	16	0.00000
Lysobacter alkalisoli	2591633	S	14	0.00009	0	0.00000	0	0.00000	0	0.00000
Luteimonas sp. YGD11-2	2508168	S	19	0.00012	0	0.00000	0	0.00000	18	0.00000
Luteimonas sp. 100111	2006110	S	18	0.00011	0	0.00000	0	0.00000	11	0.00000
Pseudoxanthomonas suwonensis	314722	S	36	0.00022	11	0.00000	0	0.00000	21	0.00000
Thermomonas sp. SY21	2202149	S	14	0.00009	0	0.00000	0	0.00000	0	0.00000
Thermomonas sp. HDW16	2714945	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Dyella thiooxydans	445710	S	11	0.00007	0	0.00000	0	0.00000	12	0.00000
Rheinheimera sp. LHK132	2498451	S	95	0.00059	0	0.00000	0	0.00000	17	0.00000
Acidihalobacter ferrooxidans	1765967	S	55	0.00034	660	0.00002	0	0.00000	1292	0.00001
Pasteurella multocida	747	S	119	0.00074	164	0.00000	0	0.00000	285	0.00000
Haemophilus parainfluenzae	729	S	43	0.00027	104	0.00000	15	0.00038	218	0.00000
Halomonas sp. JS92-SW72	2306583	S	62	0.00039	23	0.00000	0	0.00000	29	0.00000
Aeromonas hydrophila	644	S	23	0.00014	398	0.00001	0	0.00000	695	0.00001
Aeromonas media	651	S	10	0.00006	15	0.00000	0	0.00000	21	0.00000
Archangium gephyra	48	S	15	0.00009	0	0.00000	0	0.00000	15	0.00000
Cystobacter fuscus	43	S	12	0.00007	0	0.00000	0	0.00000	16	0.00000
Corallococcus coralloides	184914	S	11	0.00007	0	0.00000	0	0.00000	0	0.00000
Sorangium cellulosum	56	S	31	0.00019	18	0.00000	0	0.00000	34	0.00000
Labilithrix luteola	1391654	S	11	0.00007	0	0.00000	0	0.00000	11	0.00000
Minicystis rosea	888845	S	10	0.00006	0	0.00000	0	0.00000	12	0.00000
Helicobacter cinaedi	213	S	10	0.00006	174	0.00000	0	0.00000	550	0.00001
Hydrogenophilus thermoluteolus	297	S	20	0.00012	0	0.00000	0	0.00000	0	0.00000
Chryseobacterium haifense	421525	S	70	0.00043	0	0.00000	0	0.00000	28	0.00000
Chryseobacterium sp. F5649	2487071	S	15	0.00009	0	0.00000	0	0.00000	11	0.00000
Chryseobacterium sp. H6466	2487072	S	13	0.00008	0	0.00000	0	0.00000	20	0.00000
Flavobacterium anhuiense	459526	S	19	0.00012	0	0.00000	0	0.00000	10	0.00000
Capnocytophaga sputigena	1019	S	17	0.00011	44	0.00000	0	0.00000	104	0.00000
Capnocytophaga gingivalis	1017	S	11	0.00007	21	0.00000	0	0.00000	15	0.00000
Cloacibacterium normanense	237258	S	34	0.00021	0	0.00000	0	0.00000	19	0.00000
Prevotella intermedia	28131	S	30	0.00019	0	0.00000	0	0.00000	39	0.00000
Prevotella oris	28135	S	19	0.00012	0	0.00000	0	0.00000	0	0.00000
Prevotella melaninogenica	28132	S	14	0.00009	37	0.00000	0	0.00000	57	0.00000
Planctomycetes bacterium ETA_A1	2528023	S	10	0.00006	0	0.00000	0	0.00000	14	0.00000
Aquisphaera giovannonii	406548	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Fusobacterium nucleatum	851	S	37	0.00023	141	0.00000	0	0.00000	226	0.00000
Leptotrichia sp. oral taxon 212	712357	S	13	0.00008	0	0.00000	0	0.00000	16	0.00000
Homo sapiens	9606	S	39985	0.24832	57814	0.00142	23701	0.60359	108909	0.00117
Malassezia restricta	76775	S	848	0.00527	684	0.00002	300	0.00764	2462	0.00003
Botrytis cinerea	40559	S	11	0.00007	43	0.00000	0	0.00000	79	0.00000
Aspergillus oryzae	5062	S	21	0.00013	32	0.00000	0	0.00000	130	0.00000
Cercospora beticola	122368	S	11	0.00007	0	0.00000	0	0.00000	58	0.00000
Debaryomyces hansenii	4959	S	44	0.00027	21	0.00000	0	0.00000	80	0.00000
Plasmodium knowlesi	5850	S	16	0.00010	0	0.00000	0	0.00000	14	0.00000
Plasmodium malariae	5858	S	12	0.00007	167	0.00000	0	0.00000	536	0.00001
Plasmodium coatneyi	208452	S	14	0.00009	0	0.00000	0	0.00000	18	0.00000
Babesia bigemina	5866	S	12	0.00007	17	0.00000	0	0.00000	53	0.00000
Toxoplasma gondii	5811	S	69	0.00043	375	0.00001	31	0.00079	575	0.00001
Sulfolobus acidocaldarius	2285	S	66	0.00041	274	0.00001	0	0.00000	654	0.00001
Salmonella bongori	54736	S	0	0.00000	26933	0.00066	0	0.00000	46013	0.00049
Salmonella sp. S13	2686305	S	0	0.00000	409	0.00001	0	0.00000	721	0.00001
Salmonella sp. SSDFZ54	2500542	S	0	0.00000	330	0.00001	0	0.00000	576	0.00001
Salmonella sp. HNK130	2664291	S	0	0.00000	212	0.00001	0	0.00000	316	0.00000
Salmonella sp. SSDFZ69	2500543	S	0	0.00000	58	0.00000	0	0.00000	107	0.00000
Salmonella sp. SCFS4	2725417	S	0	0.00000	28	0.00000	0	0.00000	69	0.00000
Escherichia albertii	208962	S	0	0.00000	39449	0.00097	0	0.00000	67355	0.00072
Escherichia marmotae	1499973	S	0	0.00000	24619	0.00060	0	0.00000	41233	0.00044
Escherichia sp. E4742	2044467	S	0	0.00000	23084	0.00057	0	0.00000	39642	0.00043
Escherichia sp. SCLE84	2725997	S	0	0.00000	664	0.00002	0	0.00000	1107	0.00001
Escherichia fergusonii	564	S	0	0.00000	20853	0.00051	0	0.00000	34590	0.00037
Klebsiella aerogenes	548	S	0	0.00000	3873	0.00009	0	0.00000	6546	0.00007
Klebsiella huaxiensis	2153354	S	0	0.00000	1941	0.00005	0	0.00000	3153	0.00003
Klebsiella michiganensis	1134687	S	0	0.00000	1552	0.00004	0	0.00000	2252	0.00002
Klebsiella quasipneumoniae	1463165	S	0	0.00000	745	0.00002	0	0.00000	1271	0.00001
Klebsiella sp. FDAARGOS_511	2488567	S	0	0.00000	469	0.00001	0	0.00000	802	0.00001
Klebsiella sp. PO552	1972757	S	0	0.00000	79	0.00000	0	0.00000	114	0.00000
Klebsiella sp. LY	2015795	S	0	0.00000	48	0.00000	0	0.00000	89	0.00000
Klebsiella sp. P1CD1	2267618	S	0	0.00000	35	0.00000	0	0.00000	52	0.00000
Klebsiella sp. MPUS7	2697371	S	0	0.00000	30	0.00000	0	0.00000	49	0.00000
Klebsiella sp. M5al	1934254	S	0	0.00000	27	0.00000	0	0.00000	30	0.00000
Klebsiella sp. LTGPAF-6F	1905288	S	0	0.00000	23	0.00000	0	0.00000	28	0.00000
Klebsiella quasivariicola	2026240	S	0	0.00000	87	0.00000	0	0.00000	133	0.00000
Shigella dysenteriae	622	S	0	0.00000	36147	0.00089	0	0.00000	62404	0.00067
Shigella flexneri	623	S	0	0.00000	22879	0.00056	0	0.00000	38497	0.00041
Shigella boydii	621	S	0	0.00000	22822	0.00056	0	0.00000	39407	0.00042
Shigella sonnei	624	S	0	0.00000	6063	0.00015	0	0.00000	10029	0.00011
Citrobacter werkmanii	67827	S	0	0.00000	1968	0.00005	0	0.00000	3348	0.00004
Citrobacter portucalensis	1639133	S	0	0.00000	1293	0.00003	0	0.00000	2123	0.00002
Citrobacter braakii	57706	S	0	0.00000	832	0.00002	0	0.00000	1267	0.00001
Citrobacter freundii complex sp. CFNIH2	2066049	S	0	0.00000	482	0.00001	0	0.00000	773	0.00001
Citrobacter youngae	133448	S	0	0.00000	384	0.00001	0	0.00000	619	0.00001
Citrobacter freundii complex sp. CFNIH3	2077147	S	0	0.00000	239	0.00001	0	0.00000	446	0.00000
Citrobacter freundii complex sp. CFNIH9	2077149	S	0	0.00000	136	0.00000	0	0.00000	201	0.00000
Citrobacter freundii complex sp. CFNIH4	2077148	S	0	0.00000	74	0.00000	0	0.00000	110	0.00000
Citrobacter sp. SNU WT2	2562449	S	0	0.00000	2141	0.00005	0	0.00000	3466	0.00004
Citrobacter sp. NMI7904_11	2653932	S	0	0.00000	1472	0.00004	0	0.00000	2367	0.00003
Citrobacter sp. LY-1	2546350	S	0	0.00000	1148	0.00003	0	0.00000	1786	0.00002
Citrobacter sp. TSA-1	184912	S	0	0.00000	1091	0.00003	0	0.00000	1580	0.00002
Citrobacter sp. FDAARGOS_156	1702170	S	0	0.00000	209	0.00001	0	0.00000	350	0.00000
Citrobacter sp. CRE-46	1703250	S	0	0.00000	169	0.00000	0	0.00000	304	0.00000
Citrobacter sp. CFNIH10	1920110	S	0	0.00000	140	0.00000	0	0.00000	227	0.00000
Citrobacter sp. LUTT5	2697370	S	0	0.00000	73	0.00000	0	0.00000	108	0.00000
Citrobacter sp. CF971	2566012	S	0	0.00000	66	0.00000	0	0.00000	89	0.00000
Citrobacter sp. TBCP-5362	2576406	S	0	0.00000	14	0.00000	0	0.00000	0	0.00000
Citrobacter sp. 86	2013114	S	0	0.00000	10	0.00000	0	0.00000	0	0.00000
Citrobacter rodentium	67825	S	0	0.00000	3957	0.00010	0	0.00000	6336	0.00007
Citrobacter amalonaticus	35703	S	0	0.00000	2812	0.00007	0	0.00000	4583	0.00005
Citrobacter farmeri	67824	S	0	0.00000	1737	0.00004	0	0.00000	2931	0.00003
Citrobacter koseri	545	S	0	0.00000	1454	0.00004	0	0.00000	2507	0.00003
Citrobacter pasteurii	1563222	S	0	0.00000	350	0.00001	0	0.00000	570	0.00001
Enterobacter cloacae	550	S	0	0.00000	5400	0.00013	0	0.00000	8966	0.00010
Enterobacter hormaechei	158836	S	0	0.00000	5182	0.00013	0	0.00000	8674	0.00009
Enterobacter asburiae	61645	S	0	0.00000	1784	0.00004	0	0.00000	2894	0.00003
Enterobacter cancerogenus	69218	S	0	0.00000	1476	0.00004	0	0.00000	2388	0.00003
Enterobacter roggenkampii	1812935	S	0	0.00000	1447	0.00004	0	0.00000	1948	0.00002
Enterobacter ludwigii	299767	S	0	0.00000	951	0.00002	0	0.00000	1748	0.00002
Enterobacter chengduensis	2494701	S	0	0.00000	896	0.00002	0	0.00000	1360	0.00001
Enterobacter cloacae complex sp.	2027919	S	0	0.00000	845	0.00002	0	0.00000	1483	0.00002
Enterobacter kobei	208224	S	0	0.00000	585	0.00001	0	0.00000	891	0.00001
Enterobacter sichuanensis	2071710	S	0	0.00000	231	0.00001	0	0.00000	438	0.00000
Enterobacter cloacae complex sp. FDA-CDC-AR_0164	2077136	S	0	0.00000	88	0.00000	0	0.00000	134	0.00000
Enterobacter cloacae complex sp. ECNIH7	1915310	S	0	0.00000	66	0.00000	0	0.00000	107	0.00000
Enterobacter cloacae complex sp. FDA-CDC-AR_0132	2077137	S	0	0.00000	30	0.00000	0	0.00000	39	0.00000
Enterobacter sp. SA187	1914861	S	0	0.00000	2771	0.00007	0	0.00000	4655	0.00005
Enterobacter sp. E76	2596949	S	0	0.00000	1599	0.00004	0	0.00000	2804	0.00003
Enterobacter sp. 638	399742	S	0	0.00000	1382	0.00003	0	0.00000	2365	0.00003
Enterobacter sp. R4-368	1166130	S	0	0.00000	269	0.00001	0	0.00000	456	0.00000
Enterobacter sp. N18-03635	2500132	S	0	0.00000	140	0.00000	0	0.00000	257	0.00000
Enterobacter sp. E20	1560339	S	0	0.00000	110	0.00000	0	0.00000	130	0.00000
Enterobacter sp. 18A13	2565914	S	0	0.00000	88	0.00000	0	0.00000	151	0.00000
Enterobacter sp. ODB01	1827481	S	0	0.00000	70	0.00000	0	0.00000	108	0.00000
Enterobacter sp. HK169	1868135	S	0	0.00000	67	0.00000	0	0.00000	108	0.00000
Enterobacter sp. LU1	1848517	S	0	0.00000	19	0.00000	0	0.00000	38	0.00000
Enterobacter soli	885040	S	0	0.00000	1344	0.00003	0	0.00000	2138	0.00002
Enterobacter oligotrophica	2478464	S	0	0.00000	1160	0.00003	0	0.00000	1858	0.00002
Enterobacter bugandensis	881260	S	0	0.00000	824	0.00002	0	0.00000	1327	0.00001
Kosakonia cowanii	208223	S	0	0.00000	1792	0.00004	0	0.00000	2810	0.00003
Kosakonia sacchari	1158459	S	0	0.00000	1334	0.00003	0	0.00000	2280	0.00002
Kosakonia arachidis	551989	S	0	0.00000	1102	0.00003	0	0.00000	1870	0.00002
Kosakonia oryzae	497725	S	0	0.00000	849	0.00002	0	0.00000	1391	0.00001
Kosakonia sp. CCTCC M2018092	2492396	S	0	0.00000	575	0.00001	0	0.00000	919	0.00001
Kosakonia radicincitans	283686	S	0	0.00000	199	0.00000	0	0.00000	331	0.00000
Leclercia sp. 29361	2714951	S	0	0.00000	791	0.00002	0	0.00000	1150	0.00001
Leclercia sp. J807	2681307	S	0	0.00000	206	0.00001	0	0.00000	341	0.00000
Leclercia sp. W6	2282310	S	0	0.00000	196	0.00000	0	0.00000	306	0.00000
Leclercia sp. 119287	2681308	S	0	0.00000	187	0.00000	0	0.00000	304	0.00000
Leclercia sp. W17	2282309	S	0	0.00000	178	0.00000	0	0.00000	276	0.00000
Leclercia sp. 1106151	2681309	S	0	0.00000	107	0.00000	0	0.00000	178	0.00000
Leclercia sp. LSNIH1	1920114	S	0	0.00000	80	0.00000	0	0.00000	128	0.00000
Leclercia sp. LSNIH3	1920116	S	0	0.00000	23	0.00000	0	0.00000	21	0.00000
Leclercia adecarboxylata	83655	S	0	0.00000	2359	0.00006	0	0.00000	3772	0.00004
Cronobacter sakazakii	28141	S	0	0.00000	1698	0.00004	0	0.00000	2820	0.00003
Cronobacter condimenti	1163710	S	0	0.00000	945	0.00002	0	0.00000	1505	0.00002
Cronobacter dublinensis	413497	S	0	0.00000	683	0.00002	0	0.00000	1161	0.00001
Cronobacter turicensis	413502	S	0	0.00000	557	0.00001	0	0.00000	894	0.00001
Cronobacter universalis	535744	S	0	0.00000	469	0.00001	0	0.00000	744	0.00001
Cronobacter malonaticus	413503	S	0	0.00000	435	0.00001	0	0.00000	705	0.00001
Cronobacter sp. JZ38	1906275	S	0	0.00000	139	0.00000	0	0.00000	238	0.00000
Cronobacter muytjensii	413501	S	0	0.00000	125	0.00000	0	0.00000	194	0.00000
Raoultella planticola	575	S	0	0.00000	1680	0.00004	0	0.00000	2943	0.00003
Raoultella ornithinolytica	54291	S	0	0.00000	1422	0.00003	0	0.00000	2522	0.00003
Raoultella electrica	1259973	S	0	0.00000	795	0.00002	0	0.00000	1357	0.00001
Raoultella terrigena	577	S	0	0.00000	619	0.00002	0	0.00000	1091	0.00001
Raoultella sp. NCTC 9189	2583577	S	0	0.00000	98	0.00000	0	0.00000	157	0.00000
Raoultella sp. X13	2259647	S	0	0.00000	27	0.00000	0	0.00000	30	0.00000
Lelliottia amnigena	61646	S	0	0.00000	2845	0.00007	0	0.00000	4478	0.00005
Lelliottia jeotgali	1907578	S	0	0.00000	1471	0.00004	0	0.00000	2225	0.00002
Lelliottia sp. WB101	2153385	S	0	0.00000	1439	0.00004	0	0.00000	2152	0.00002
Lelliottia nimipressuralis	69220	S	0	0.00000	297	0.00001	0	0.00000	491	0.00001
Enterobacteriaceae bacterium strain FGI 57	693444	S	0	0.00000	3169	0.00008	0	0.00000	5033	0.00005
Enterobacteriaceae bacterium ENNIH1	2066051	S	0	0.00000	908	0.00002	0	0.00000	1616	0.00002
Plautia stali symbiont	891974	S	0	0.00000	256	0.00001	0	0.00000	562	0.00001
Enterobacteriaceae bacterium A-F18	2045202	S	0	0.00000	134	0.00000	0	0.00000	235	0.00000
Enterobacteriaceae bacterium S05	2052938	S	0	0.00000	59	0.00000	0	0.00000	71	0.00000
Enterobacteriaceae endosymbiont of Donacia tomentosa	2675787	S	0	0.00000	35	0.00000	0	0.00000	175	0.00000
Enterobacteriaceae endosymbiont of Plateumaris sericea	2675797	S	0	0.00000	32	0.00000	0	0.00000	25	0.00000
Enterobacteriaceae endosymbiont of Donacia cincticornis	2675773	S	0	0.00000	16	0.00000	0	0.00000	42	0.00000
Enterobacteriaceae endosymbiont of Plateumaris consimilis	2675794	S	0	0.00000	12	0.00000	0	0.00000	35	0.00000
Candidatus Hamiltonella defensa	138072	S	0	0.00000	181	0.00000	0	0.00000	300	0.00000
secondary endosymbiont of Heteropsylla cubana	134287	S	0	0.00000	163	0.00000	0	0.00000	261	0.00000
secondary endosymbiont of Ctenarytaina eucalypti	1199245	S	0	0.00000	136	0.00000	0	0.00000	225	0.00000
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	1505596	S	0	0.00000	82	0.00000	0	0.00000	132	0.00000
Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	1505597	S	0	0.00000	36	0.00000	0	0.00000	36	0.00000
Blochmannia endosymbiont of Camponotus nipponensis	2681986	S	0	0.00000	10	0.00000	0	0.00000	24	0.00000
Candidatus Blochmannia floridanus	203907	S	0	0.00000	48	0.00000	0	0.00000	66	0.00000
Candidatus Doolittlea endobia	1778262	S	0	0.00000	147	0.00000	0	0.00000	252	0.00000
Candidatus Hoaglandella endobia	1778263	S	0	0.00000	122	0.00000	0	0.00000	245	0.00000
Candidatus Gullanella endobia	1070130	S	0	0.00000	68	0.00000	0	0.00000	98	0.00000
secondary endosymbiont of Trabutina mannipara	1835721	S	0	0.00000	44	0.00000	0	0.00000	70	0.00000
Candidatus Mikella endobia	1778264	S	0	0.00000	40	0.00000	0	0.00000	44	0.00000
Candidatus Purcelliella pentastirinorum	472834	S	0	0.00000	32	0.00000	0	0.00000	40	0.00000
Candidatus Tachikawaea gelatinosa	1410383	S	0	0.00000	29	0.00000	0	0.00000	40	0.00000
Candidatus Annandia adelgestsuga	1302411	S	0	0.00000	27	0.00000	0	0.00000	33	0.00000
Cedecea neteri	158822	S	0	0.00000	2632	0.00006	0	0.00000	4401	0.00005
Cedecea sp. FDAARGOS_727	2545798	S	0	0.00000	1030	0.00003	0	0.00000	1784	0.00002
Cedecea lapagei	158823	S	0	0.00000	868	0.00002	0	0.00000	1336	0.00001
Kluyvera intermedia	61648	S	0	0.00000	2510	0.00006	0	0.00000	4049	0.00004
Kluyvera sp. PO2S7	2705459	S	0	0.00000	1939	0.00005	0	0.00000	3092	0.00003
[Enterobacter] lignolyticus	1334193	S	0	0.00000	2536	0.00006	0	0.00000	4161	0.00004
Pluralibacter gergoviae	61647	S	0	0.00000	1955	0.00005	0	0.00000	3020	0.00003
Yokenella regensburgei	158877	S	0	0.00000	2443	0.00006	0	0.00000	3999	0.00004
Atlantibacter hermannii	565	S	0	0.00000	1831	0.00004	0	0.00000	2941	0.00003
Shimwellia blattae	563	S	0	0.00000	1783	0.00004	0	0.00000	2896	0.00003
Izhakiella sp. KSNA2	2579935	S	0	0.00000	1419	0.00003	0	0.00000	2357	0.00003
Gibbsiella quercinecans	929813	S	0	0.00000	575	0.00001	0	0.00000	939	0.00001
Limnobaculum parvum	2172103	S	0	0.00000	297	0.00001	0	0.00000	507	0.00001
Candidatus Moranella endobia	1048758	S	0	0.00000	160	0.00000	0	0.00000	198	0.00000
Metakosakonia sp. MRY16-398	2487150	S	0	0.00000	77	0.00000	0	0.00000	155	0.00000
Candidatus Ishikawaella capsulata	168169	S	0	0.00000	69	0.00000	0	0.00000	165	0.00000
Candidatus Riesia pediculicola	401619	S	0	0.00000	28	0.00000	0	0.00000	36	0.00000
Serratia sp. YD25	1759437	S	0	0.00000	62	0.00000	0	0.00000	116	0.00000
Serratia sp. ATCC 39006	104623	S	0	0.00000	41	0.00000	0	0.00000	78	0.00000
Serratia sp. FGI94	671990	S	0	0.00000	21	0.00000	0	0.00000	14	0.00000
Serratia marcescens	615	S	0	0.00000	205	0.00001	0	0.00000	329	0.00000
Serratia symbiotica	138074	S	0	0.00000	179	0.00000	0	0.00000	309	0.00000
Serratia plymuthica	82996	S	0	0.00000	172	0.00000	0	0.00000	262	0.00000
Serratia fonticola	47917	S	0	0.00000	125	0.00000	0	0.00000	312	0.00000
Serratia rubidaea	61652	S	0	0.00000	56	0.00000	0	0.00000	93	0.00000
Serratia liquefaciens	614	S	0	0.00000	44	0.00000	0	0.00000	55	0.00000
Serratia odorifera	618	S	0	0.00000	33	0.00000	0	0.00000	47	0.00000
Serratia proteamaculans	28151	S	0	0.00000	13	0.00000	0	0.00000	25	0.00000
Yersinia pestis	632	S	0	0.00000	526	0.00001	0	0.00000	776	0.00001
Yersinia pseudotuberculosis	633	S	0	0.00000	87	0.00000	0	0.00000	128	0.00000
Yersinia enterocolitica	630	S	0	0.00000	128	0.00000	0	0.00000	184	0.00000
Yersinia frederiksenii	29484	S	0	0.00000	55	0.00000	0	0.00000	64	0.00000
Yersinia intermedia	631	S	0	0.00000	41	0.00000	0	0.00000	79	0.00000
Yersinia entomophaga	935293	S	0	0.00000	39	0.00000	0	0.00000	61	0.00000
Yersinia ruckeri	29486	S	0	0.00000	30	0.00000	0	0.00000	59	0.00000
